from,to,weight
DB,S1,1
DB,S1E1,2
DB,S1E2,2
DB,S1E5,1
DB,S1E6,1
DB,S1E7,1
DB,S1E8,2
SL,S1,1
SL,S1E3,1
SL,S1E4,1
JM,S1,1
JM,S1E3,1
JD,S1,1
JD ,S1E4,1
JD,S1E7,1
AT,S1,1
AT,S1E5,1
JNL,S1,1
JNL,S1E6,1
